"Name","Effect"
"misty-surge","Turns the ground into Misty Terrain when the Pokémon enters a battle."
"mold-breaker","The Pokémon's moves are not affected by foe’s abilities during battle"
"moody","Every turn, one of the Pokémon's stats will be boosted sharply but another stat will be lowered."
"motor-drive","The Pokémon takes no damage when hit by Electric-type moves. Instead, its Speed stat is boosted."
"moxie","When the Pokémon knocks out a target, it shows moxie, which boosts its Attack stat."
"multiscale","Reduces damage afflicted to the Pokémon by 50% if at maximum HP"
"multitype","Changes the Pokémon's type to match the plate it holds."
"mummy","Contact with the Pokémon changes the attacker’s Ability to Mummy."
"mycelium-might","The Pokémon will always act more slowly when using status moves, but these moves will be unimpeded by the Ability of the target."
"natural-cure","The Pokémon's status conditions are cured when it switches out."
"neuroforce","Powers up moves that are super effective."
"neutralizing-gas","While the Pokémon is in the battle, the effects of all other Pokémon's Abilities will be nullified or will not be triggered."
"no-guard","The accuracy of all moves known by this Pokémon and all Pokémon targeting this Pokémon raises to 100%"
"normalize","All the Pokémon’s moves become Normal type. The power of those moves is boosted a little."
"oblivious","The Pokémon is oblivious, keeping it from being infatuated, falling for taunts, or being affected by Intimidate."
"opportunist","If an opponent's stat is boosted, the Pokémon seizes the opportunity to boost the same stat for itself."
"orichalcum-pulse","Turns the sunlight harsh when the Pokémon enters a battle. The ancient pulse thrumming through the Pokémon also boosts its Attack stat in harsh sunlight."
"overcoat","The Pokémon takes no damage from sandstorms. It is also protected from the effects of powders and spores."
"overgrow","Powers up Grass-type moves when the Pokémon's HP is low."
"own-tempo","The Pokémon sticks to its own tempo, preventing it from becoming confused or being affected by Intimidate."
"parental-bond","Parent and child each attacks."
"pastel-veil","Protects the Pokémon and its ally Pokémon from being poisoned."
"perish-body","When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle."
"pickpocket","The Pokémon steals the held item from attackers that made direct contact with it."
"pickup","The Pokémon may pick up an item another Pokémon used during a battle. It may pick up items outside of battle, too."
"piercing-drill","When the Pokémon uses contact moves, it can hit even targets that are protecting themselves, dealing 1/4 of the damage that the move would otherwise deal. Everything aside from the target's protective effects is still triggered."
"pixilate","Normal-type moves become Fairy-type moves. The power of those moves is boosted a little."
"plus","Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle."
"poison-heal","If poisoned, the Pokémon has its HP restored instead of taking damage."
"poison-point","Contact with the Pokémon may poison the attacker."
"poison-puppeteer","Pokémon poisoned by Pecharunt's moves will also become confused."
"poison-touch","May poison a target when the Pokémon makes contact."
"power-construct","Other Cells gather to aid when its HP becomes half or less. Then the Pokémon changes its form to Complete Forme."
"power-spot","Just being next to the Pokémon powers up moves."
"power-of-alchemy","The Pokémon copies the Ability of a defeated ally."
"prankster","Gives priority to the Pokémon's status moves."
"pressure","Puts other Pokémon under pressure, causing them to expend more PP to use their moves."
"primordial-sea","The Pokémon changes the weather to nullify Fire-type attacks."
"prism-armor","Reduces the power of supereffective attacks taken."
"propeller-tail","Ignores the effects of opposing Pokémon's Abilities and moves that draw in moves."
"protean","Before the Pokémon uses a move, it becomes a pure Pokémon of that type. This only works once per switch in."
"protosynthesis","Boosts the Pokémon's most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy."
"psychic-surge","Turns the ground into Psychic Terrain when the Pokémon enters a battle."
"punk-rock","Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves."
"pure-power","Using its pure power, the Pokémon doubles its Attack stat."
"purifying-salt","The Pokémon's pure salt protects it from status conditions and halves the damage taken from Ghost-type moves."
"quark-drive","Boosts the Pokémon's most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy."
"queenly-majesty","When the Pokémon uses Surf or Dive, it will come back with prey. When it takes damage, it will spit out the prey to attack."
"quick-draw","Enables the Pokémon to move first occasionally."
"quick-feet","Boosts the Speed stat if the Pokémon has a status condition."
"rks-system","Changes the Pokémon’s type to match the memory disc it holds."
"rain-dish","The Pokémon gradually regains HP in rain."
"rattled","The Pokémon gets scared when hit by a Dark-, Ghost-, or Bug-type attack or if intimidated, which boosts its Speed stat."
"receiver","The Pokémon copies the Ability of a defeated ally."
"reckless","Powers up moves that have recoil damage."
"refrigerate","Normal-type moves become Ice-type moves. The power of those moves is boosted a little."
"regenerator","The Pokémon has a little of its HP restored when withdrawn from battle."
"ripen","Ripens Berries and doubles their effect."
"rivalry","The Pokémon's competitive spirit makes it deal more damage to Pokémon of the same gender, but less damage to Pokémon of the opposite gender."
"rock-head","Protects the Pokémon from recoil damage."
"rocky-payload","Powers up Rock-type moves."
"rough-skin","The Pokémon's rough skin damages attackers that make direct contact with it."
"run-away","Enables a sure getaway from wild Pokémon."
"sand-force","Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm."
"sand-rush","Boosts the Pokémon's Speed stat in a sandstorm."
"sand-spit","The Pokémon creates a sandstorm when it's hit by an attack."
"sand-stream","The Pokémon summons a sandstorm when it enters a battle."
"sand-veil","Boosts the Pokémon's evasiveness in a sandstorm."
"sap-sipper","The Pokémon takes no damage when hit by Grass-type moves. Instead, its Attack stat is boosted."
"schooling","When it has a lot of HP, the Pokémon forms a powerful school. It stops schooling when its HP is low."
"scrappy","The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves. It is also unaffected by Intimidate."
"screen-cleaner","When the Pokémon enters a battle, the effects of Light Screen, Reflect, and Aurora Veil are nullified for both opposing and ally Pokémon."
"seed-sower","Turns the ground into Grassy Terrain when the Pokémon is hit by an attack."
"serene-grace","Raises the likelihood of additional effects occurring when the Pokémon uses its moves."
"shadow-shield","Reduces the amount of damage the Pokémon takes while its HP is full."
"shadow-tag","The Pokémon steps on the opposing Pokémon's shadows to prevent them from fleeing or switching out."
"sharpness","Powers up slicing moves."
"shed-skin","The Pokémon may cure its own status conditions by shedding its skin."
"sheer-force","Removes any additional effects from the Pokémon's moves, but increases the moves' power."
"shell-armor","A hard shell protects the Pokémon from critical hits."
"shield-dust","Protective dust shields the Pokémon from the additional effects of moves."
"shields-down","When its HP drops to half or less, the Pokémon's shell breaks and it becomes aggressive."
"simple","Doubles the effects of the Pokémon's stat changes."
"skill-link","Maximizes the number of times multistrike moves hit."
"slow-start","For five turns, the Pokémon's Attack and Speed stats are halved."
"slush-rush","Boosts the Pokémon's Speed stat in snow."
"sniper","If the Pokémon's attack lands a critical hit, the attack is powered up even further."
"snow-cloak","Boosts the Pokémon's evasiveness in snow."
"snow-warning","Snowstorm blows when the Pokémon enters battle. As of X & Y, this lasts 5 turns."
"solar-power","In harsh sunlight, the Pokémon's Sp. Atk stat is boosted, but its HP decreases every turn."
"solid-rock","Reduces the power of supereffective attacks that hit the Pokémon."
"soul-heart","Boosts the Pokémon's Sp. Atk stat every time another Pokémon faints."
"soundproof","Soundproofing gives the Pokémon full immunity to all sound-based moves."
"speed-boost","The Pokémon's Speed stat is boosted every turn."
"spicy-spray","When the Pokémon takes damage from a move, it burns the attacker."
"stakeout","Doubles the damage dealt to a target that has just switched into battle."
"stall","The Pokémon is always the last to use its moves."
"stalwart","Ignores the effects of opposing Pokémon's Abilities and moves that draw in moves."
"stamina","Boosts the Defense stat when the Pokémon is hit by an attack."
"stance-change","The Pokémon changes its form to Blade Forme when it uses an attack move and changes to Shield Forme when it uses King’s Shield."
"static","The Pokémon is charged with static electricity and may paralyze attackers that make direct contact with it."
"steadfast","The Pokémon's determination boosts its Speed stat every time it flinches."
"steam-engine","Boosts the Speed stat drastically when the Pokémon is hit by a Fire- or Water-type move."
"steelworker","Powers up Steel-type moves."
"steely-spirit","Powers up the Steel-type moves of the Pokémon and its allies."
"stench","By releasing a stench when attacking, the Pokémon may cause the target to flinch."
"sticky-hold","The Pokémon's held items cling to its sticky body and cannot be removed by other Pokémon."
"storm-drain","The Pokémon draws in all Water-type moves. Instead of taking damage from them, its Sp. Atk stat is boosted."
"strong-jaw","The Pokémon's strong jaw boosts the power of its biting moves."
"sturdy","The Pokémon cannot be knocked out by a single hit as long as its HP is full. One-hit KO moves will also fail to knock it out."
"suction-cups","The Pokémon uses suction cups to stay in one spot. This protects it from moves and items that would force it to switch out."
"super-luck","The Pokémon is so lucky that the critical-hit ratios of its moves are boosted."
"supersweet-syrup","Lowers the evasion of opposing Pokémon by 1 stage when first sent into battle"
"supreme-overlord","When the Pokémon enters a battle, its Attack and Sp. Atk stats are slightly boosted for each of the allies in its party that have already been defeated."
"surge-surfer","Doubles the Pokémon's Speed stat on Electric Terrain."
"swarm","Powers up Bug-type moves when the Pokémon's HP is low."
"sweet-veil","Prevents the Pokémon and its allies from falling asleep."
"swift-swim","Boosts the Pokémon's Speed stat in rain."
"sword-of-ruin","The power of the Pokémon's ruinous sword lowers the Defense stats of all Pokémon except itself."
"symbiosis","The Pokémon passes its held item to an ally that has used up an item."
"synchronize","If the Pokémon is burned, paralyzed, or poisoned by another Pokémon, that Pokémon will be inflicted with the same status condition."
"tablets-of-ruin","The power of the Pokémon's ruinous wooden tablets lowers the Attack stats of all Pokémon except itself."
"tangled-feet","Boosts the Pokémon's evasiveness if it is confused."
"tangling-hair","Contact with the Pokémon lowers the attacker's Speed stat."
"technician","Powers up weak moves so the Pokémon can deal more damage with them."
"telepathy","The Pokémon anticipates and dodges the attacks of its allies."
"tera-shell","The Pokémon's shell contains the powers of each type. All damage-dealing moves that hit the Pokémon when its HP is full will not be very effective."
"tera-shift","When the Pokémon enters a battle, it absorbs the energy around itself and transforms into its Terastal Form."
"teraform-zero","When Terapagos changes into its Stellar Form, it uses its hidden powers to eliminate all effects of weather and terrain, reducing them to zero."
"teravolt","The Pokémon's moves are unimpeded by the Ability of the target."
"thermal-exchange","Boosts the Attack stat when the Pokémon is hit by a Fire-type move. The Pokémon also cannot be burned."
"thick-fat","The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves."
"tinted-lens","The Pokémon can use “not very effective” moves to deal regular damage."
"torrent","Powers up Water-type moves when the Pokémon's HP is low."
"tough-claws","Powers up moves that make direct contact."
"toxic-boost","Powers up physical moves when the Pokémon is poisoned."
"toxic-chain","The power of the Pokémon's toxic chain may badly poison any target the Pokémon hits with a move"
"toxic-debris","Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves."
"trace","Ability becomes the same as that of the opponent. Switching this Pokémon out of battle restores its original ability. In a Double Battle, a random opponent’s ability will be copied."
"transistor","Powers up Electric-type moves."
"triage","Gives priority to the Pokémon's healing moves."
"truant","Each time the Pokémon uses a move, it spends the next turn loafing around."
"turboblaze","The Pokémon's moves are unimpeded by the Ability of the target."
"unaware","When attacking, the Pokémon ignores the target's stat changes."
"unburden","Boosts the Speed stat if the Pokémon's held item is used or lost."
"unnerve","Unnerves opposing Pokémon and makes them unable to eat Berries."
"unseen-fist","The Pokémon can deal damage with moves that make physical contact, even if the target is protected."
"vessel-of-ruin","The power of the Pokémon's ruinous vessel lowers the Sp. Atk stats of all Pokémon except itself."
"victory-star","Boosts the accuracy of its allies and itself."
"vital-spirit","The Pokémon is full of vitality, and that prevents it from falling asleep."
"volt-absorb","If hit by an Electric-type move, the Pokémon has its HP restored instead of taking damage."
"wandering-spirit","The Pokémon exchanges Abilities with a Pokémon that hits it with a move that makes direct contact."
"water-absorb","If hit by a Water-type move, the Pokémon has its HP restored instead of taking damage."
"water-bubble","Lowers the power of Fire-type moves that hit the Pokémon and prevents it from being burned."
"water-compaction","Boosts the Defense stat sharply when the Pokémon is hit by a Water-type move."
"water-veil","The Pokémon's water veil prevents it from being burned."
"weak-armor","The Pokémon's Defense stat is lowered when it takes damage from physical moves, but its Speed stat is sharply boosted."
"well-baked-body","The Pokémon takes no damage when hit by Fire-type moves. Instead, its Defense stat is sharply boosted."
"white-smoke","The Pokémon is protected by its white smoke, which prevents other Pokémon from lowering its stats."
"wimp-out","The Pokémon cowardly switches out when its HP becomes half or less."
"wind-power","The Pokémon becomes charged when it is hit by a wind move, boosting the power of the next Electric-type move the Pokémon uses."
"wind-rider","Boosts the Pokémon's Attack stat if Tailwind takes effect or if the Pokémon is hit by a wind move. The Pokémon also takes no damage from wind moves."
"wonder-guard","Its mysterious power only lets supereffective moves hit the Pokémon."
"wonder-skin","Makes status moves more likely to miss the Pokémon."
"zen-mode","Changes the Pokémon’s shape when HP is half or less."
"zero-to-hero","The Pokémon transforms into its Hero Form when it switches out."
